iShares Core S&P/TSX Capped Composite Index ETF
Inception Date,"Feb 16, 2001"
Fund Holdings as of,"30-Jun-2016"
Total Net Assets ($000s),"$2,425,040,039"
Shares Outstanding,"108,900,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,CUSIP,Exchange,Country of Risk,Currency,Market Currency,FX Rate
"VET","VERMILION ENERGY INC.","0.26","41.14","154,709","$6,364,728","6,364,728.26","Energy","B607XS1","923725105","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"CAD","CAD CASH","0.26","100.00","6,331,747","$6,331,747","6,331,747.09","Cash and/or Derivatives","-","-","-","Canada","CAD","CAD","1.00"
"RBA","RITCHIE BROS AUCTIONEERS INC","0.26","43.66","144,255","$6,298,173","6,298,173.30","Industrials","2345390","767744105","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"CU","CANADIAN UTILITIES LTD. CL A","0.24","37.43","157,983","$5,913,304","5,913,303.69","Utilities","2172639","136717832","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"SRU.UN","SMART REAL ESTATE INVESTMENT TRUST","0.24","38.20","154,695","$5,909,349","5,909,349.00","Financials","BZ22BK5","83179X108","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"VII","SEVEN GENERATIONS ENERGY LTD CLASS","0.24","24.66","235,595","$5,809,773","5,809,772.70","Energy","BRK0MM4","81783Q105","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"H","HYDRO ONE LTD","0.24","25.96","223,784","$5,809,433","5,809,432.64","Utilities","BYYXJY9","448811208","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"TRQ","TURQUOISE HILL RESOURCES LTD.","0.24","4.37","1,326,594","$5,797,216","5,797,215.78","Materials","B7WJ1F5","900435108","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"CAR.UN","CANADIAN APARTMENT PROPERTIES REAL","0.24","33.16","173,813","$5,763,639","5,763,639.08","Financials","2117599","134921105","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"CAE","CAE INC","0.23","15.61","362,289","$5,655,331","5,655,331.29","Industrials","2162760","124765108","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"IAG","INDUSTRIAL ALLIANCE INSURANCE & FI","0.23","40.61","137,934","$5,601,500","5,601,499.74","Financials","2543688","455871103","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"ELD","ELDORADO GOLD CORPORATION","0.23","5.81","957,049","$5,560,455","5,560,454.69","Materials","2307873","284902103","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"BB","BLACKBERRY LTD","0.22","8.67","618,631","$5,363,531","5,363,530.77","Information Technology","BCBHZ31","09228F103","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"BEP.UN","BROOKFIELD RENEWABLE PARTNERS NON","0.22","38.46","138,758","$5,336,633","5,336,632.68","Utilities","B712JY0","-","Toronto Stock Exchange","Bermuda","CAD","CAD","1.00"
"BBD.B","BOMBARDIER INC CLASS B","0.21","1.94","2,600,025","$5,044,049","5,044,048.50","Industrials","2109723","097751200","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"STN","STANTEC INC.","0.20","31.33","152,685","$4,783,621","4,783,621.05","Industrials","2854238","85472N109","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"FTT","FINNING INTERNATIONAL INC.","0.20","21.04","226,159","$4,758,385","4,758,385.36","Industrials","2339177","318071404","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"REF.UN","CANADIAN REAL ESTATE INVESTMENT UN","0.20","48.30","98,384","$4,751,947","4,751,947.20","Financials","2173052","13650J104","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"DH","DH CORP","0.19","32.11","143,663","$4,613,019","4,613,018.93","Information Technology","BMH4NV0","23290R101","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"ACO.X","ATCO LTD CLASS I","0.19","45.32","100,558","$4,557,289","4,557,288.56","Utilities","2060615","046789400","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"MX","METHANEX CORP.","0.19","37.59","120,813","$4,541,361","4,541,360.67","Materials","2654416","59151K108","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"VSN","VERESEN INC.","0.19","10.95","413,031","$4,522,689","4,522,689.45","Energy","B3MBSJ6","92340R106","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"CGX","CINEPLEX INC.","0.18","51.58","85,311","$4,400,341","4,400,341.38","Consumer Discretionary","B682FM6","172454100","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"PAA","PAN AMERICAN SILVER CORP.","0.18","21.28","204,507","$4,351,909","4,351,908.96","Materials","2669272","697900108","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"WCP","WHITECAP RESOURCES INC","0.17","9.88","423,279","$4,181,997","4,181,996.52","Energy","B418WK4","96467A200","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"EMP.A","EMPIRE LTD CLASS A","0.17","19.21","217,133","$4,171,125","4,171,124.93","Consumer Staples","2314000","291843407","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"ENF","ENBRIDGE INCOME FUND HOLDINGS INC.","0.17","32.06","130,081","$4,170,397","4,170,396.86","Energy","B5PJ0N9","29251R105","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"QBR.B","QUEBECOR INC CLASS B","0.17","37.02","112,274","$4,156,383","4,156,383.48","Consumer Discretionary","2715777","748193208","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"AQN","ALGONQUIN POWER & UTILITIES CORP.","0.17","11.89","347,823","$4,135,615","4,135,615.47","Utilities","B51BMR7","015857105","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"MDA","MACDONALD DETTWILER & ASSOCIATES L","0.17","84.27","48,782","$4,110,859","4,110,859.14","Industrials","2610883","554282103","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"IGM","IGM FINANCIAL INC.","0.17","35.17","116,844","$4,109,403","4,109,403.48","Financials","2469375","449586106","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"AP.UN","ALLIED PROPERTIES REAL ESTATE INVE","0.17","38.68","105,708","$4,088,785","4,088,785.44","Financials","2387701","019456102","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"BTO","B2GOLD CORP.","0.17","3.24","1,249,504","$4,048,393","4,048,392.96","Materials","B29VFC4","11777Q209","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"OGC","OCEANAGOLD CORPORATION CORP","0.17","4.93","815,151","$4,018,694","4,018,694.43","Materials","B1Z7L21","675222103","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"AGI","ALAMOS GOLD INC CLASS A","0.16","11.11","355,857","$3,953,571","3,953,571.27","Materials","BZ3DNP6","011532108","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"NGD","NEW GOLD INC","0.16","5.65","686,479","$3,878,606","3,878,606.35","Materials","2826947","644535106","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"CSH.UN","CHARTWELL RETIREMENT RESIDENCES RE","0.16","15.77","244,533","$3,856,285","3,856,285.41","Health Care","B8S8C94","16141A103","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"MBT","MANITOBA TELECOM SERVICES INC.","0.16","37.93","100,042","$3,794,593","3,794,593.06","Telecommunications","2561572","563486109","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"TIH","TOROMONT INDUSTRIES LTD.","0.15","37.64","98,614","$3,711,831","3,711,830.96","Industrials","2897103","891102105","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"FR","FIRST MAJESTIC SILVER CORP","0.15","17.55","210,428","$3,693,011","3,693,011.40","Materials","2833583","32076V103","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"LUN","LUNDIN MINING CORP.","0.15","4.36","842,306","$3,672,454","3,672,454.16","Materials","2866857","550372106","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"CUF.UN","COMINAR REAL ESTATE INVESTMENT TRU","0.15","16.84","214,987","$3,620,381","3,620,381.08","Financials","2419927","199910100","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"FCR","FIRST CAPITAL REALTY INC","0.14","22.16","157,905","$3,499,175","3,499,174.80","Financials","2185596","31943B100","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"WJA","WESTJET AIRLINES VARIABLE VOTING A","0.14","21.08","164,552","$3,468,756","3,468,756.16","Industrials","BYN2G91","960410504","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"WSP","WSP GLOBAL INC","0.14","39.52","86,362","$3,413,026","3,413,026.24","Industrials","BHR3R21","92938W202","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"WFT","WEST FRASER TIMBER CO. LTD.","0.14","37.77","89,838","$3,393,181","3,393,181.26","Materials","2951098","952845105","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"AC","AIR CANADA","0.14","8.89","374,596","$3,330,158","3,330,158.44","Industrials","BSDHYK1","008911877","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"NPI","NORTHLAND POWER INC.","0.14","22.20","148,973","$3,307,201","3,307,200.60","Utilities","B68XHC3","666511100","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"MFI","MAPLE LEAF FOODS INC.","0.14","27.59","119,490","$3,296,729","3,296,729.10","Consumer Staples","2555865","564905107","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"BCB","COTT CORPORATION","0.12","18.06","165,051","$2,980,821","2,980,821.06","Consumer Staples","2228952","22163N106","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"IMG","IAMGOLD CORPORATION","0.12","5.35","546,180","$2,922,063","2,922,063.00","Materials","2446646","450913108","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"BEI.UN","BOARDWALK REAL ESTATE INVESTMENT T","0.12","57.56","50,255","$2,892,678","2,892,677.80","Financials","B011205","096631106","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"PKI","PARKLAND FUEL CORP.","0.12","22.49","127,847","$2,875,279","2,875,279.03","Energy","B3SQRQ5","70137T105","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
